tourist_name,destination,budget,rating,preferred_activity
Bryan Sims,Fantasyland,11302,2.4,Island Hopping
David Thompson,Dakak Beach Resort,4611,1.8,Swimming
James Henderson,Mahayag Cave,13098,3.5,Historical Tour
Monica Sanchez,Rizal Shrine,16327,3.8,Photography
Stephanie Scott,Aliguay Island,15109,2.9,Swimming
Anthony Becker,Aliguay Island,1219,4.5,Snorkeling
Vincent Hill,Dakak Beach Resort,18181,1.5,Island Hopping
Kristine Clark,Aliguay Island,3070,2.0,Island Hopping
Sonya Marshall,Ilihan Hill,6842,1.3,Hiking
Nicole May,Dakak Beach Resort,3095,3.0,Snorkeling
David Moore,Sergio Osmeña Falls,13662,2.0,Historical Tour
Anna Hall,Mount Malindang,10191,3.6,Nature Exploration
Kayla Sosa,Mount Malindang,9598,3.6,Snorkeling
Sandra Anderson,Sergio Osmeña Falls,19318,4.8,Camping
Vincent Smith,Dipolog Boulevard,7363,2.4,Sightseeing
Timothy Chan,Mahayag Cave,11884,1.9,Island Hopping
Adam Logan,Aliguay Island,4844,3.2,Swimming
Jesse Yoder,Dakak Beach Resort,10539,1.5,Island Hopping
Kevin Medina,Dakak Beach Resort,15680,2.4,Hiking
Luis Curry,Fantasyland,11933,3.4,Island Hopping
Barbara Palmer,Sergio Osmeña Falls,12318,4.9,Swimming
Martin Chavez,Ilihan Hill,3644,3.2,Snorkeling
Kenneth Martinez,Gloria de Dapitan,15053,3.1,Sightseeing
Nicole Hansen,Aliguay Island,11105,4.1,Sightseeing
Renee Page,Mount Malindang,18008,2.9,Nature Exploration
Angela Thompson,Mahayag Cave,1999,1.7,Nature Exploration
Lindsay Andrews,Mount Malindang,9924,3.1,Snorkeling
Jasmine Gutierrez,Mount Malindang,7974,2.5,Hiking
Yvette Martin,Dipolog Boulevard,3008,3.4,Swimming
Andrea Haynes,Ilihan Hill,17024,1.4,Sightseeing
Nancy Reyes,Dakak Beach Resort,8185,4.5,Snorkeling
Nicole Casey,Dakak Beach Resort,4585,4.1,Sightseeing
David Lloyd,Gloria de Dapitan,13398,1.5,Food Trip
Tiffany Hall,Dakak Beach Resort,3913,1.2,Nature Exploration
Matthew Smith,Fantasyland,2821,4.6,Island Hopping
Michelle Carter,Aliguay Island,4842,2.1,Food Trip
Sara Salazar,Mount Malindang,4027,1.9,Snorkeling
Diane Torres,Mount Malindang,17124,3.9,Swimming
Holly Doyle,Aliguay Island,9608,1.0,Food Trip
John Keith,Gloria de Dapitan,8023,2.6,Island Hopping
Robert Cobb,Dakak Beach Resort,8772,1.3,Food Trip
Mark Nguyen,Rizal Shrine,7397,4.8,Island Hopping
Deborah Lee,Sergio Osmeña Falls,3470,3.6,Hiking
Mary Pace,Gloria de Dapitan,6474,3.5,Swimming
April Powell,Ilihan Hill,18212,4.7,Swimming
Duane Macias,Mount Malindang,16998,3.8,Swimming
